wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Johannes Schlaf,German literature,"schram, johannes",0.875
Giuseppe Sarti,"grétry, andré ernest modeste","baretti, giuseppe",0.875
Alexander Cooper,victoria and albert museum,"pope, alexander",0.875
William Donthorne,Classical order,"thorn, william",0.875
The British Museum,underwood & underwood,british museum,0.875
Anthony Holborne,Wolfgang Amadeus Mozart,"hobson, anthony",0.875
Johann Friedrich Dübner,persius,"gruner, johann friedrich",0.875
Johann Philipp Graumann,frederick,"hartmann, johann philipp",0.875
Bernard Trevisan,Alchemy,"bernard, tristan",0.875
Christian Kern,Austria,"gerson, christian",0.875
Johann Friedrich Meckel,"blumenbach, johann friedrich","gmelin, johann friedrich",0.875
Conrad H. Gesner,"gessner, conrad","gessner, conrad",0.875
Johann Gottfried Köhler,Planet,"herder, johann gottfried",0.875
British Museum Act,british museum,british museum,0.875
Tony Richardson,"jarry, alfred","richardson, john",0.875
Prosper Merimee,Literary forgery,"mérimée, prosper",0.875
François Bondy,"sartre, jean-paul","blondel, françois",0.875
Talk:Charles Pinot Duclos,"duclos, charles pinot-","duclos, charles pinot-",0.875
Bartolomeo Marliani,"rabelais, françois","soliani, bartolomeo",0.8718
Franciscus Monachus,Franciscus,"donatus, franciscus",0.8718
Éric de Rothschild,"rothschild, henri de","rothschild, henri de",0.8718
Benedict Spinoza,Biblical criticism,"spinoza, benedictus de",0.8718
Johann Jacob Ferber,"de geer, charles","bauer, johann jacob",0.8718
Talk:Sebastian Franck,"franck, sebastian","franck, sebastian",0.8718
Johann Georg Walch,"buddeus, joannes franciscus","abicht, johann georg",0.8718
Talk:Valentin Conrart,"conrart, valentin","conrart, valentin",0.8718
Friedrich Karl Forberg,"fichte, johann gottlieb","freytag, friedrich karl",0.8696
Cambridge University,"darwin, charles",cambridge university press,0.8696
Joseph Dan,אלעזר בן יהודה,"lang, joseph",0.8696
Conseil d'État (France),"constant, benjamin",france. conseil d'etat,0.8696
Louis Spohr,Ossian,"mohr, louis",0.8696
Fenestella,terence,"fenestella, l",0.8696
Theodosius II,porphyry,theodosius,0.8696
Thomas Kyd,Seneca the Younger,"hyde, thomas",0.8696
Gusti Wolf,"burgtheater (vienna, austria)","wolf, gustav",0.8696
